Mesh ID,Cross-section type,Pressure (MPa),Aspect Ratio,Pore Area (um^2)
1_6,circular,0.7,[np.float64(1.0385390417329508)],4915.860585806621
1_6,circular,0.6,[np.float64(1.0382009662783462)],4881.652816275502
1_6,circular,0.2,[np.float64(1.0312926741358712)],4747.386532491222
1_6,circular,2.0,[np.float64(1.0375092829896437)],5385.459459326812
1_6,circular,0.3,[np.float64(1.03455802937071)],4780.57692717998
1_6,circular,0.1,[np.float64(1.0253506207780347)],4714.433184760908
1_6,circular,0.0,[np.float64(1.0000025340545253)],4681.718249777404
1_6,circular,1.7,[np.float64(1.03800911976924)],5272.807023318316
1_6,circular,1.6,[np.float64(1.0381542136571542)],5235.881959983983
1_6,circular,1.4,[np.float64(1.0384502718931352)],5162.821297521426
1_6,circular,1.5,[np.float64(1.0383032348257555)],5199.213263876483
1_6,circular,1.1,[np.float64(1.038819966517706)],5055.307627576799
1_6,circular,1.0,[np.float64(1.038821212121085)],5020.062571693903
1_6,circular,1.2,[np.float64(1.0387045737902683)],5090.881249397133
1_6,circular,1.3,[np.float64(1.0385979282761288)],5126.701227928382
1_6,circular,1.8,[np.float64(1.0378474894495917)],5310.059937461333
1_6,circular,1.9,[np.float64(1.0376593935475629)],5347.656804266635
1_6,circular,0.8,[np.float64(1.0387505689773928)],4950.323928854864
1_6,circular,0.9,[np.float64(1.0388401905332587)],4985.055512154293
1_6,oval,0.5,[np.float64(1.0794620984139591)],3995.2250225144608
1_6,oval,0.4,[np.float64(1.0888248225075428)],3971.306191350777
1_6,oval,0.6,[np.float64(1.0706832797440722)],4019.373465345352
1_6,oval,0.7,[np.float64(1.0616761167614674)],4043.720049488817
1_6,oval,0.3,[np.float64(1.1008167860149045)],3947.6115214935935
1_6,oval,2.0,[np.float64(1.0118771220894367)],4378.743584094731
1_6,oval,0.2,[np.float64(1.1159466837794019)],3924.1326556781974
1_6,oval,0.0,[np.float64(1.4401486771781988)],3877.877964776327
1_6,oval,0.1,[np.float64(1.1456017163045962)],3900.8875289358657
1_6,oval,1.6,[np.float64(1.0195260811807503)],4272.242118077282
1_6,oval,1.7,[np.float64(1.017314411475915)],4298.590490127493
1_6,oval,1.5,[np.float64(1.0220323817656214)],4246.091166437394
1_6,oval,1.4,[np.float64(1.024815850082683)],4220.127504799134
1_6,oval,1.0,[np.float64(1.0406474376732198)],4118.149382251148
1_6,oval,1.1,[np.float64(1.0357820563954565)],4143.3536411208415
1_6,oval,1.3,[np.float64(1.0279687784612965)],4194.347431975895
1_6,oval,1.2,[np.float64(1.0315679237525013)],4168.749027712107
1_6,oval,1.9,[np.float64(1.0134689856058363)],4351.798019750804
1_6,oval,1.8,[np.float64(1.0153096267916226)],4325.116821632177
1_6,oval,0.9,[np.float64(1.0463958876241473)],4093.1332256882365
1_6,oval,0.8,[np.float64(1.0532778372233396)],4068.313558767144
1_8,circular,1.1,[np.float64(1.9908390650426535)],4623.228817616078
1_8,circular,1.0,[np.float64(1.992509320779529)],4592.347279152918
1_8,circular,1.2,[np.float64(1.988987006717648)],4654.342949822447
1_8,circular,1.3,[np.float64(1.987043250789269)],4685.6922155353095
1_8,circular,1.7,[np.float64(2.0399866019729362)],4813.4823927263005
1_8,circular,1.6,[np.float64(2.042341697952043)],4781.1709537288025
1_8,circular,1.4,[np.float64(2.0468975673357432)],4717.278841345909
1_8,circular,1.5,[np.float64(2.0446506146285146)],4749.103224332588
1_8,circular,0.2,[np.float64(1.9236166564295019)],4353.356029833043
1_8,circular,2.0,[np.float64(2.0980065606788503)],4911.895351797884
1_8,circular,0.3,[np.float64(1.9304548977115643)],4382.471163466738
