Mesh ID,Cross-section type,Pressure,Cross section,Aspect Ratio
3_6,oval,1.1,"[[-2.59177e+00 -4.61243e-04]
 [-2.59500e+00  2.31439e-01]
 [-2.60469e+00  4.63286e-01]
 ...
 [-2.62088e+00 -6.95954e-01]
 [-2.60469e+00 -4.64218e-01]
 [-2.59498e+00 -2.32372e-01]]",1.0026387699956434
2_7,oval,1.2,"[[-3.05720e+00  1.67344e-05]
 [-3.05987e+00  1.84158e-01]
 [-3.06787e+00  3.68279e-01]
 ...
 [-3.08121e+00 -5.52317e-01]
 [-3.06786e+00 -3.68238e-01]
 [-3.05986e+00 -1.84117e-01]]",1.02000756752068
2_3,circular,1.4,"[[-4.08512e+00  4.85260e-07]
 [-4.08879e+00  2.55935e-01]
 [-4.09978e+00  5.11631e-01]
 ...
 [-4.11809e+00 -7.66853e-01]
 [-4.09978e+00 -5.11631e-01]
 [-4.08879e+00 -2.55934e-01]]",0.9558485630897778
1_2,circular,2.0,"[[-2.25927e+00  3.27733e-06]
 [-2.26381e+00  3.14336e-01]
 [-2.27742e+00  6.28357e-01]
 ...
 [-2.30010e+00 -9.41756e-01]
 [-2.27742e+00 -6.28358e-01]
 [-2.26381e+00 -3.14337e-01]]",0.9527340077051869
3_2,circular,0.8,"[[-1.61358e+00  2.48873e-06]
 [-1.61756e+00  2.90109e-01]
 [-1.62950e+00  5.79961e-01]
 ...
 [-1.64940e+00 -8.69297e-01]
 [-1.62950e+00 -5.79955e-01]
 [-1.61756e+00 -2.90103e-01]]",0.9534745692312402
1_8,circular,1.3,"[[-3.50989e+00 -1.26631e-08]
 [-3.51370e+00  2.64599e-01]
 [-3.52513e+00  5.28954e-01]
 ...
 [-3.54417e+00 -7.92820e-01]
 [-3.52513e+00 -5.28954e-01]
 [-3.51370e+00 -2.64600e-01]]",0.9573960959602763
1_4,oval,0.8,"[[-2.86821e+00  1.61096e-06]
 [-2.87139e+00  1.98726e-01]
 [-2.88091e+00  3.97356e-01]
 ...
 [-2.89677e+00 -5.95787e-01]
 [-2.88091e+00 -3.97348e-01]
 [-2.87139e+00 -1.98719e-01]]",1.0473093333236667
3_4,circular,1.4,"[[-1.40588e+00 -6.69723e-04]
 [-1.41004e+00  2.94610e-01]
 [-1.42252e+00  5.89616e-01]
 ...
 [-1.44334e+00 -8.85414e-01]
 [-1.42254e+00 -5.90953e-01]
 [-1.41006e+00 -2.95947e-01]]",0.9529568612513094
2_1,oval,1.5,"[[-4.81756e+00  1.48822e-04]
 [-4.82026e+00  1.71069e-01]
 [-4.82838e+00  3.41970e-01]
 ...
 [-4.84194e+00 -5.12529e-01]
 [-4.82839e+00 -3.41670e-01]
 [-4.82027e+00 -1.70769e-01]]",1.0495597001934158
1_2,circular,0.2,"[[-2.84973e+00 -2.03392e-06]
 [-2.85367e+00  2.66742e-01]
 [-2.86551e+00  5.33246e-01]
 ...
 [-2.88523e+00 -7.99270e-01]
 [-2.86551e+00 -5.33246e-01]
 [-2.85367e+00 -2.66743e-01]]",0.9762753348860882
1_3,oval,0.8,"[[-3.41775e+00  8.60666e-05]
 [-3.42097e+00  1.86641e-01]
 [-3.43064e+00  3.73171e-01]
 ...
 [-3.44677e+00 -5.59488e-01]
 [-3.43065e+00 -3.73007e-01]
 [-3.42097e+00 -1.86477e-01]]",1.1009806080773148
1_2,circular,0.6,"[[-2.74253e+00 -2.77792e-06]
 [-2.74653e+00  2.78431e-01]
 [-2.75852e+00  5.56616e-01]
 ...
 [-2.77850e+00 -8.34310e-01]
 [-2.75852e+00 -5.56622e-01]
 [-2.74653e+00 -2.78437e-01]]",0.960016320792996
1_8,circular,1.7,"[[-3.40604e+00  6.22524e-07]
 [-3.40998e+00  2.72536e-01]
 [-3.42180e+00  5.44812e-01]
 ...
 [-3.44149e+00 -8.16569e-01]
 [-3.42180e+00 -5.44811e-01]
 [-3.40998e+00 -2.72535e-01]]",0.9568982754605397
2_1,oval,1.1,"[[-4.81993e+00  1.52141e-04]
 [-4.82267e+00  1.66566e-01]
 [-4.83093e+00  3.32949e-01]
 ...
 [-4.84471e+00 -4.98962e-01]
 [-4.83094e+00 -3.32643e-01]
 [-4.82268e+00 -1.66261e-01]]",1.070838578143894
3_4,circular,1.0,"[[-1.55572e+00 -6.69974e-04]
 [-1.55968e+00  2.85225e-01]
 [-1.57155e+00  5.70868e-01]
 ...
 [-1.59135e+00 -8.57340e-01]
 [-1.57157e+00 -5.72204e-01]
 [-1.55969e+00 -2.86561e-01]]",0.95247516846406
2_3,circular,1.0,"[[-4.17679e+00  3.36924e-08]
 [-4.18036e+00  2.48191e-01]
 [-4.19104e+00  4.96156e-01]
 ...
 [-4.20883e+00 -7.43672e-01]
 [-4.19104e+00 -4.96156e-01]
 [-4.18036e+00 -2.48190e-01]]",0.95808828969962
3_6,oval,1.5,"[[-2.50959e+00 -4.64290e-04]
 [-2.51288e+00  2.38347e-01]
 [-2.52279e+00  4.77102e-01]
 ...
 [-2.53932e+00 -7.16678e-01]
 [-2.52278e+00 -4.78039e-01]
 [-2.51287e+00 -2.39284e-01]]",0.9950293445474674
2_7,oval,1.6,"[[-3.01462e+00  1.49170e-05]
 [-3.01730e+00  1.88713e-01]
 [-3.02535e+00  3.77394e-01]
 ...
 [-3.03877e+00 -5.65999e-01]
 [-3.02534e+00 -3.77354e-01]
 [-3.01730e+00 -1.88673e-01]]",1.010303948215905
1_6,circular,0.2,"[[-2.81515e+00 -8.42292e-06]
 [-2.81890e+00  2.52722e-01]
 [-2.83014e+00  5.05227e-01]
 ...
 [-2.84885e+00 -7.57283e-01]
 [-2.83014e+00 -5.05230e-01]
 [-2.81890e+00 -2.52725e-01]]",0.9701915444773291
1_6,oval,0.3,"[[-3.09970e+00  3.76732e-04]
 [-3.10280e+00  1.75903e-01]
 [-3.11209e+00  3.51400e-01]
 ...
 [-3.12762e+00 -5.26087e-01]
 [-3.11212e+00 -3.50651e-01]
 [-3.10283e+00 -1.75154e-01]]",1.1274617253611352
3_6,circular,0.8,"[[-2.03580e+00  3.24337e-04]
 [-2.03987e+00  2.89991e-01]
 [-2.05209e+00  5.79407e-01]
 ...
 [-2.07242e+00 -8.67662e-01]
 [-2.05206e+00 -5.78749e-01]
 [-2.03984e+00 -2.89334e-01]]",0.9556533048774196
1_5,circular,0.8,"[[-2.91002e+00  5.64680e-07]
 [-2.91432e+00  3.01278e-01]
 [-2.92722e+00  6.02284e-01]
 ...
 [-2.94871e+00 -9.02746e-01]
 [-2.92722e+00 -6.02285e-01]
 [-2.91432e+00 -3.01279e-01]]",0.956666729785627
1_3,circular,1.4,"[[-2.80525e+00  4.21327e-06]
 [-2.80932e+00  2.88124e-01]
 [-2.82154e+00  5.75974e-01]
 ...
 [-2.84189e+00 -8.63280e-01]
 [-2.82154e+00 -5.75971e-01]
 [-2.80932e+00 -2.88121e-01]]",0.951753821180088
2_7,circular,1.4,"[[-2.38915e+00 -2.69495e-06]
 [-2.39285e+00  2.50140e-01]
 [-2.40393e+00  5.00048e-01]
 ...
 [-2.42239e+00 -7.49489e-01]
 [-2.40393e+00 -5.00048e-01]
 [-2.39285e+00 -2.50140e-01]]",0.9646230088137019
1_6,circular,2.0,"[[-2.27505e+00  2.52366e-06]
 [-2.27938e+00  2.90500e-01]
 [-2.29235e+00  5.80715e-01]
 ...
 [-2.31398e+00 -8.70354e-01]
 [-2.29236e+00 -5.80705e-01]
 [-2.27938e+00 -2.90491e-01]]",0.9643329257547597
2_1,circular,0.8,"[[-4.47671e+00  1.04334e-06]
 [-4.48001e+00  2.29052e-01]
 [-4.48992e+00  4.57895e-01]
 ...
 [-4.50644e+00 -6.86325e-01]
 [-4.48992e+00 -4.57895e-01]
 [-4.48001e+00 -2.29051e-01]]",0.9604510163914557
1_6,oval,2.0,"[[-3.22686e+00 -4.32015e-05]
 [-3.22957e+00  1.97130e-01]
 [-3.23769e+00  3.94358e-01]
 ...
 [-3.25123e+00 -5.91761e-01]
 [-3.23768e+00 -3.94426e-01]
 [-3.22956e+00 -1.97198e-01]]",1.012545523262103
2_1,circular,0.9,"[[-4.45851e+00  1.44810e-07]
 [-4.46183e+00  2.30882e-01]
 [-4.47179e+00  4.61555e-01]
 ...
 [-4.48838e+00 -6.91808e-01]
 [-4.47179e+00 -4.61552e-01]
 [-4.46183e+00 -2.30880e-01]]",0.9590334840191777
2_7,circular,1.5,"[[-2.36555e+00 -3.14317e-06]
 [-2.36927e+00  2.51793e-01]
 [-2.38045e+00  5.03352e-01]
 ...
 [-2.39906e+00 -7.54438e-01]
 [-2.38045e+00 -5.03353e-01]
 [-2.36927e+00 -2.51793e-01]]",0.964722856178428
1_3,circular,1.5,"[[-2.77303e+00  5.60886e-06]
 [-2.77714e+00  2.90491e-01]
 [-2.78947e+00  5.80701e-01]
 ...
 [-2.81002e+00 -8.70356e-01]
 [-2.78947e+00 -5.80695e-01]
 [-2.77714e+00 -2.90484e-01]]",0.951527314575993
3_6,circular,0.9,"[[-1.99460e+00  3.24426e-04]
 [-1.99872e+00  2.92492e-01]
 [-2.01110e+00  5.84403e-01]
 ...
 [-2.03169e+00 -8.75142e-01]
 [-2.01107e+00 -5.83745e-01]
 [-1.99869e+00 -2.91834e-01]]",0.9558320406814411
1_5,circular,0.9,"[[-2.87008e+00  1.50240e-06]
 [-2.87442e+00  3.04272e-01]
 [-2.88743e+00  6.08265e-01]
 ...
 [-2.90912e+00 -9.11704e-01]
 [-2.88744e+00 -6.08265e-01]
 [-2.87442e+00 -3.04272e-01]]",0.9556527959813479
1_6,oval,0.2,"[[-3.05999e+00  4.29152e-04]
 [-3.06319e+00  1.74742e-01]
 [-3.07279e+00  3.49007e-01]
 ...
 [-3.08886e+00 -5.22427e-01]
 [-3.07284e+00 -3.48259e-01]
 [-3.06324e+00 -1.73994e-01]]",1.1463676687251183
1_6,circular,0.3,"[[-2.79246e+00 -8.22445e-06]
 [-2.79620e+00  2.55062e-01]
 [-2.80739e+00  5.09908e-01]
 ...
 [-2.82604e+00 -7.64310e-01]
 [-2.80739e+00 -5.09912e-01]
 [-2.79620e+00 -2.55066e-01]]",0.9671299247114101
2_7,oval,1.7,"[[-3.00379e+00  1.41908e-05]
 [-3.00648e+00  1.89833e-01]
 [-3.01455e+00  3.79634e-01]
 ...
 [-3.02800e+00 -5.69363e-01]
 [-3.01454e+00 -3.79596e-01]
 [-3.00647e+00 -1.89795e-01]]",1.0085127706083559
3_6,oval,1.4,"[[-2.52993e+00 -4.63567e-04]
 [-2.53321e+00  2.36644e-01]
 [-2.54306e+00  4.73697e-01]
 ...
 [-2.55950e+00 -7.11571e-01]
 [-2.54305e+00 -4.74633e-01]
 [-2.53319e+00 -2.37581e-01]]",0.9965350714301919
2_3,circular,1.1,"[[-4.15425e+00 -2.15990e-07]
 [-4.15783e+00  2.50157e-01]
 [-4.16859e+00  5.00086e-01]
 ...
 [-4.18650e+00 -7.49560e-01]
 [-4.16859e+00 -5.00087e-01]
 [-4.15783e+00 -2.50157e-01]]",0.9572946944448671
