Mesh,Pressure,Area_start,Area_end,Width_start,Width_end,Length_start,Length_end,Volume_1_start,Volume_2_start,Volume_1_end,Volume_2_end,Pore_width_start,Pore_width_end,Pore_height_start,Pore_height_end,Min_diameter_start,Min_diameter_end
3_6,0.91,36.18,82.66,0,0,0,0,4294.66,4244.57,5547.17,5479.64,3.7,7.6,11.5,13.8,3.7,7.6
3_7,0.01,21.96,25.84,0,0,0,0,3581.47,4073.96,3681.28,4337.9,3,3.7,10.4,9.9,3,3.7
3_7,0.11,21.96,32.22,0,0,0,0,3581.47,4073.96,3803.1,4528.99,3,4.4,10.4,10.5,3,4.4
3_7,0.21,21.96,35.45,0,0,0,0,3581.47,4073.96,3868.25,4620.18,3,4.7,10.4,10.6,3,4.7
3_7,0.31,21.96,38.01,0,0,0,0,3581.47,4073.96,3924.74,4699.66,3,4.9,10.4,10.7,3,4.9
3_7,0.41,21.96,40.06,0,0,0,0,3581.47,4073.96,3977.26,4774.8,3,5.1,10.4,10.8,3,5.1
3_7,0.51,21.96,41.9,0,0,0,0,3581.47,4073.96,4026.79,4847.1,3,5.3,10.4,10.8,3,5.3
3_7,0.61,21.96,43.54,0,0,0,0,3581.47,4073.96,4075.3,4916.35,3,5.4,10.4,10.9,3,5.4
3_7,0.71,21.96,45.11,0,0,0,0,3581.47,4073.96,4123.51,4983.98,3,5.6,10.4,11,3,5.6
3_7,0.81,21.96,46.48,0,0,0,0,3581.47,4073.96,4171.78,5050.74,3,5.7,10.4,11.1,3,5.7
3_7,0.91,21.96,47.73,0,0,0,0,3581.47,4073.96,4219.86,5116.84,3,5.8,10.4,11.1,3,5.8
