Mesh,Pressure,Area_start,Area_end,Width_start,Width_end,Length_start,Length_end,Volume_1_start,Volume_2_start,Volume_1_end,Volume_2_end,Pore_width_start,Pore_width_end,Pore_height_start,Pore_height_end,Min_diameter_start,Min_diameter_end
2_1,0.31,73.55,83.74,0,0,0,0,2982.92,2924.95,3402.87,3358.3,9.1,10.3,10.8,10.9,9.1,10.3
2_1,0.41,73.55,84.9,0,0,0,0,2982.92,2924.95,3445.9,3403.6,9.1,10.3,10.8,10.9,9.1,10.3
2_1,0.51,73.55,85.82,0,0,0,0,2982.92,2924.95,3484.84,3445.42,9.1,10.4,10.8,11,9.1,10.4
2_1,0.61,73.55,86.78,0,0,0,0,2982.92,2924.95,3522.11,3483.72,9.1,10.5,10.8,11,9.1,10.5
2_1,0.71,73.55,87.45,0,0,0,0,2982.92,2924.95,3558.27,3521.55,9.1,10.5,10.8,11.1,9.1,10.5
2_1,0.81,73.55,88.11,0,0,0,0,2982.92,2924.95,3592.69,3557.2,9.1,10.6,10.8,11.1,9.1,10.6
2_1,0.91,73.55,88.73,0,0,0,0,2982.92,2924.95,3626.4,3591.42,9.1,10.6,10.8,11.1,9.1,10.6
2_3,0.01,73.35,78.82,0,0,0,0,3178.74,3569.28,3310.93,3776.28,8,8.8,12.6,12.5,8,8.8
2_3,0.11,73.35,85.59,0,0,0,0,3178.74,3569.28,3458,3992.99,8,9.5,12.6,12.5,8,9.5
2_3,0.21,73.35,88.12,0,0,0,0,3178.74,3569.28,3512.35,4089.93,8,9.7,12.6,12.5,8,9.7
2_3,0.31,73.35,90.12,0,0,0,0,3178.74,3569.28,3562.85,4157.49,8,9.8,12.6,12.6,8,9.8
2_3,0.41,73.35,91.84,0,0,0,0,3178.74,3569.28,3607.29,4216.22,8,9.9,12.6,12.7,8,9.9
2_3,0.51,73.35,93.17,0,0,0,0,3178.74,3569.28,3648.21,4269.83,8,10,12.6,12.7,8,10
2_3,0.61,73.35,94.21,0,0,0,0,3178.74,3569.28,3687.16,4320.29,8,10,12.6,12.7,8,10
2_3,0.71,73.35,95.26,0,0,0,0,3178.74,3569.28,3723.64,4368.46,8,10.1,12.6,12.7,8,10.1
2_3,0.81,73.35,96.05,0,0,0,0,3178.74,3569.28,3759.34,4415.11,8,10.1,12.6,12.8,8,10.1
2_3,0.91,73.35,96.92,0,0,0,0,3178.74,3569.28,3794.14,4460.52,8,10.2,12.6,12.8,8,10.2
2_4,0.01,17.42,18.84,0,0,0,0,3237.84,3125.24,3517.86,3452.87,3.3,3.7,6.2,6.1,3.3,3.7
