Mesh ID,Cross-section type,Pressure (MPa),Aspect Ratio,Pore Area (um^2)
1_6,oval,0.2,[np.float64(1.1159466837794019)],66.6272
1_6,oval,0.0,[np.float64(1.4401486771781988)],53.48480000000001
1_6,oval,0.1,[np.float64(1.1456017163045962)],64.63640000000001
1_6,oval,1.6,[np.float64(1.0195260811807503)],69.0207
1_6,oval,1.7,[np.float64(1.017314411475915)],68.90010000000001
1_6,oval,1.5,[np.float64(1.0220323817656214)],69.1463
1_6,oval,1.4,[np.float64(1.024815850082683)],69.2834
1_6,oval,1.0,[np.float64(1.0406474376732198)],69.601
1_6,oval,1.1,[np.float64(1.0357820563954565)],69.5779
1_6,oval,1.3,[np.float64(1.0279687784612965)],69.38480000000001
1_6,oval,1.2,[np.float64(1.0315679237525013)],69.53750000000001
1_6,oval,1.9,[np.float64(1.0134689856058363)],68.6054
1_6,oval,1.8,[np.float64(1.0153096267916226)],68.7427
1_6,oval,0.9,[np.float64(1.0463958876241473)],69.6448
1_6,oval,0.8,[np.float64(1.0532778372233396)],69.5988
1_8,circular,1.1,[np.float64(1.990813651003129)],61.74100000000001
1_8,circular,1.0,[np.float64(1.992496145384651)],62.2922
1_8,circular,1.2,[np.float64(1.9889842414819654)],61.2297
1_8,circular,1.3,[np.float64(1.7794847893916077)],60.7103
1_8,circular,1.7,[np.float64(2.0400179784530725)],58.81720000000001
1_8,circular,1.6,[np.float64(2.042358776476592)],59.2687
1_8,circular,1.4,[np.float64(2.0469149225155583)],60.211800000000004
1_8,circular,1.5,[np.float64(2.0446602385437496)],59.718599999999995
1_8,circular,0.2,[np.float64(1.924201585740937)],66.458
1_8,circular,2.0,[np.float64(2.0980467213844984)],57.5487
1_8,circular,0.3,[np.float64(1.9304447577796517)],66.0678
1_8,circular,0.1,[np.float64(1.858594250884199)],66.6733
1_8,circular,0.0,[np.float64(1.8281180794792795)],65.8275
1_8,circular,0.4,[np.float64(1.933907757902319)],65.5925
1_8,circular,0.5,[np.float64(1.9357970686194736)],65.0686
1_8,circular,0.7,[np.float64(3.0523521950823027)],63.9609
1_8,circular,0.6,[np.float64(1.9365382429072202)],64.5205
1_8,circular,0.8,[np.float64(1.995033127336402)],63.390699999999995
1_8,circular,0.9,[np.float64(1.9939110674473295)],62.8362
1_8,circular,1.8,[np.float64(2.037648685789671)],58.3706
1_8,circular,1.9,[np.float64(2.100609886027693)],57.949400000000004
1_8,oval,1.9,[np.float64(1.9711741343917404)],67.3133
1_8,oval,1.8,[np.float64(1.9705960671188327)],67.523
1_8,oval,0.9,[np.float64(1.8850832870407943)],69.1905
1_8,oval,0.8,[np.float64(1.8209780306853036)],69.32520000000001
1_8,oval,0.0,[np.float64(1.5640082563897832)],65.8275
1_8,oval,0.1,[np.float64(1.6438571846894514)],68.2106
1_8,oval,0.3,[np.float64(1.7578262940031997)],69.2101
1_8,oval,2.0,[np.float64(1.971567852666043)],67.1327
1_8,oval,0.2,[np.float64(1.7317036629864502)],68.8168
1_8,oval,0.6,[np.float64(1.804171076744859)],69.5009
1_8,oval,0.7,[np.float64(1.8135085624480087)],69.4154
1_8,oval,0.5,[np.float64(1.7926299505458148)],69.47540000000001
1_8,oval,0.4,[np.float64(1.7779246769037864)],69.3966
1_8,oval,1.3,[np.float64(3.008304064120517)],68.4696
1_8,oval,1.2,[np.float64(1.8978100778691493)],68.68350000000001
1_8,oval,1.0,[np.float64(1.8901993105356183)],69.0403
1_8,oval,1.1,[np.float64(1.8943656075832624)],68.8845
1_8,oval,1.5,[np.float64(1.9671518930491594)],68.0954
1_8,oval,1.4,[np.float64(1.90282849113818)],68.3101
1_8,oval,1.6,[np.float64(1.9686694006039733)],67.9047
1_8,oval,1.7,[np.float64(1.9697374505046645)],67.69930000000001
2_1,circular,0.8,[np.float64(0.9645924726637091)],71.97770000000001
2_1,circular,0.9,[np.float64(0.9633989774197197)],71.6395
2_1,circular,1.8,[np.float64(0.9591218665862213)],68.818
2_1,circular,1.9,[np.float64(0.9590262925781351)],68.5364
2_1,circular,1.4,[np.float64(0.9600104892694116)],69.9912
2_1,circular,1.5,[np.float64(0.9596794536289369)],69.6928
2_1,circular,1.7,[np.float64(0.9592363959046071)],69.0966
2_1,circular,1.6,[np.float64(0.9594308651803718)],69.3922
2_1,circular,1.2,[np.float64(0.9609446598783001)],70.62020000000001
2_1,circular,1.3,[np.float64(0.9604274292571149)],70.3207
2_1,circular,1.1,[np.float64(0.961585351330859)],70.9742
2_1,circular,1.0,[np.float64(0.9623836043836665)],71.3108
2_1,circular,0.7,[np.float64(0.9660100127221576)],72.2998
2_1,circular,0.6,[np.float64(0.9678182606904496)],72.6122
2_1,circular,0.4,[np.float64(0.9728780237979155)],73.24
2_1,circular,0.5,[np.float64(0.9700540938313481)],72.9401
2_1,circular,0.1,[np.float64(0.9877667112117055)],73.8087
2_1,circular,0.0,[np.float64(1.0001834948577406)],73.52520000000001
2_1,circular,2.0,[np.float64(0.9589655424924625)],68.2737
2_1,circular,0.2,[np.float64(0.9813095318162368)],73.6911
2_1,circular,0.3,[np.float64(0.976473880318639)],73.4846
2_1,oval,1.7,[np.float64(1.0393498314147829)],81.88340000000001
2_1,oval,1.6,[np.float64(1.04282514349295)],81.79390000000001
2_1,oval,1.4,[np.float64(1.0509764445016843)],81.5458
2_1,oval,1.5,[np.float64(1.0466955702025043)],81.6528
2_1,oval,1.1,[np.float64(1.0670835629646458)],81.087
2_1,oval,1.0,[np.float64(1.0739369458312942)],80.8775
2_1,oval,1.2,[np.float64(1.0610634233079412)],81.2713
2_1,oval,1.3,[np.float64(1.0557514422888608)],81.39890000000001
2_1,oval,0.4,[np.float64(1.1205552016881168)],78.644
2_1,oval,0.5,[np.float64(1.1220916264942973)],79.2086
2_1,oval,0.7,[np.float64(1.1019763161791287)],80.0614
2_1,oval,0.6,[np.float64(1.1110260624553034)],79.6575
2_1,oval,0.2,[np.float64(1.186748567995524)],77.0366
2_1,oval,2.0,[np.float64(1.0306108392923081)],82.15700000000001
2_1,oval,0.3,[np.float64(1.1301669045609815)],77.93090000000001
2_1,oval,0.1,[np.float64(1.2172500685164112)],75.8941
2_1,oval,0.0,[np.float64(1.3908507272263337)],73.52520000000001
2_1,oval,0.8,[np.float64(1.0910264813187391)],80.3796
2_1,oval,0.9,[np.float64(1.0818507615031874)],80.64920000000001
2_1,oval,1.8,[np.float64(1.0361516339633252)],81.9809
2_1,oval,1.9,[np.float64(1.033256994758687)],82.07350000000001
2_3,circular,1.6,[np.float64(2.044410915050176)],68.8505
2_3,circular,1.7,[np.float64(2.042291335964694)],68.4803
2_3,circular,1.5,[np.float64(2.0467388659318355)],69.2482
2_3,circular,1.4,[np.float64(2.048864925947779)],69.65180000000001
2_3,circular,1.0,[np.float64(1.9931578408671091)],71.367
2_3,circular,1.1,[np.float64(1.991828400223527)],70.91550000000001
2_3,circular,1.3,[np.float64(2.050900539824165)],70.0706
2_3,circular,1.2,[np.float64(1.9902658367635677)],70.4974
2_3,circular,0.5,[np.float64(1.933945864400999)],73.5842
2_3,circular,0.4,[np.float64(1.9314216239893265)],73.9941
2_3,circular,0.6,[np.float64(1.9353265676878753)],73.1692
2_3,circular,0.7,[np.float64(1.994978002226095)],72.71600000000001
2_3,circular,0.3,[np.float64(1.9273247469613553)],74.35860000000001
2_3,circular,2.0,[np.float64(2.100475962730959)],67.4068
2_3,circular,0.2,[np.float64(1.9204486460379815)],74.691
2_3,circular,0.0,[np.float64(1.8281323739845197)],74.2693
2_3,circular,0.1,[np.float64(1.9100685954294652)],74.8027
2_3,circular,0.9,[np.float64(1.9941750697859142)],71.8057
2_3,circular,0.8,[np.float64(1.994832528385891)],72.2745
2_3,circular,1.9,[np.float64(2.1029677727481193)],67.7523
2_3,circular,1.8,[np.float64(2.0400313704537893)],68.1174
2_3,oval,1.8,[np.float64(1.895708128837059)],83.4435
2_3,oval,1.9,[np.float64(1.8990731938456298)],83.5017
2_3,oval,0.8,[np.float64(1.6909393441743217)],82.1924
2_3,oval,0.9,[np.float64(1.7740234862860542)],82.4658
2_3,oval,2.0,[np.float64(1.9020407712464946)],83.5335
2_3,oval,0.2,[np.float64(1.5362573270999915)],78.8166
2_3,oval,0.3,[np.float64(1.6145749521988833)],79.7596
2_3,oval,0.1,[np.float64(1.4961063239982793)],77.4993
2_3,oval,0.0,[np.float64(1.3141901014786457)],74.2693
2_3,oval,0.4,[np.float64(1.638294836723215)],80.4897
2_3,oval,0.5,[np.float64(1.6581961169672168)],81.066
2_3,oval,0.7,[np.float64(1.691162241936261)],81.8923
2_3,oval,0.6,[np.float64(1.675600003921756)],81.5374
2_3,oval,1.1,[np.float64(1.793815356711695)],82.81
2_3,oval,1.0,[np.float64(1.784631579513377)],82.6584
2_3,oval,1.2,[np.float64(1.8017067605206791)],82.96170000000001
2_3,oval,1.3,[np.float64(1.8085767860507376)],83.06049999999999
2_3,oval,1.7,[np.float64(1.8919494964738643)],83.3866
2_3,oval,1.6,[np.float64(1.8876150030360483)],83.32469999999999
2_3,oval,1.4,[np.float64(1.8146823401012766)],83.175
2_3,oval,1.5,[np.float64(1.8200513896209027)],83.2552
2_6a,circular,0.8,[np.float64(5.1535417551038725)],19.8944
2_6a,circular,0.9,[np.float64(1.7483208269641242)],19.441000000000003
2_6a,circular,1.8,[np.float64(2.6726938239474274)],15.749300000000002
2_6a,circular,1.9,[np.float64(2.776464433100335)],15.3855
2_6a,circular,1.2,[np.float64(2.8815272019788067)],18.1126
2_6a,circular,1.3,[np.float64(2.8727595388363363)],17.6914
2_6a,circular,1.1,[np.float64(1.745410004346611)],18.544
2_6a,circular,1.0,[np.float64(1.6157279870432806)],18.9903
2_6a,circular,1.4,[np.float64(2.778593933804503)],17.276100000000003
2_6a,circular,1.5,[np.float64(2.4959211438376516)],16.887
2_6a,circular,1.7,[np.float64(2.494174605260422)],16.1128
2_6a,circular,1.6,[np.float64(2.6571639640639018)],16.4883
2_6a,circular,0.1,[np.float64(3.048607533397714)],22.542200000000005
2_6a,circular,0.0,[np.float64(3.190721606901601)],21.1879
2_6a,circular,0.2,[np.float64(4.634659174683557)],22.417400000000004
2_6a,circular,2.0,[np.float64(5.373566090813115)],15.040000000000001
2_6a,circular,0.3,[np.float64(1.6313703842914469)],22.0892
2_6a,circular,0.7,[np.float64(5.044860442017206)],20.3626
2_6a,circular,0.6,[np.float64(1.7061617282930857)],20.8165
2_6a,circular,0.4,[np.float64(1.6036907543032377)],21.681900000000002
2_6a,circular,0.5,[np.float64(4.834730434944204)],21.258200000000002
2_6a,oval,1.9,[np.float64(2.958315904630212)],26.822200000000002
2_6a,oval,1.8,[np.float64(2.971446654741235)],26.863000000000003
2_6a,oval,0.9,[np.float64(1.4515574502519275)],26.826
2_6a,oval,0.8,[np.float64(1.402719641897517)],26.7594
2_6a,oval,0.3,[np.float64(1.2947580509245613)],25.802000000000003
2_6a,oval,0.2,[np.float64(1.2010688592001897)],25.4087
2_6a,oval,2.0,[np.float64(2.946073042836492)],26.797600000000003
