Mesh ID,Cross-section type,Pressure (MPa),Aspect Ratio,Pore Area (um^2)
idealised_final_3_7,circular,1.2,[np.float64(1.059210839953603)],24.6202
idealised_final_3_2,oval,0.4,[np.float64(1.1344195143248565)],24.4854
idealised_final_2_6a,circular,0.1,[np.float64(0.9951542001120512)],21.147
idealised_final_2_1,circular,0.4,[np.float64(0.9747081960091782)],73.1918
idealised_final_1_3,oval,2.0,[np.float64(1.0635079135115955)],51.84270000000001
idealised_final_3_2,circular,0.7,[np.float64(1.0450120212476484)],23.0511
idealised_final_1_5,circular,0.3,[np.float64(0.9754611444583869)],50.0833
idealised_final_3_4,circular,0.4,[np.float64(1.0182662209758357)],25.402600000000003
idealised_final_2_3,circular,0.4,[np.float64(0.9730541983515004)],74.0828
idealised_final_1_5,circular,0.0,[np.float64(1.0039676639392077)],49.6223
idealised_final_3_2,oval,0.9,[np.float64(1.069507584344921)],25.0652
idealised_final_3_7,oval,1.2,[np.float64(1.276855478863865)],34.341300000000004
idealised_final_2_3,oval,0.2,[np.float64(1.2677008269847212)],76.8262
idealised_final_2_7,circular,0.8,[np.float64(0.9635133933589041)],51.8723
idealised_final_1_6,circular,1.9,[np.float64(1.0710231759362403)],55.064800000000005
idealised_final_1_3,oval,0.8,[np.float64(1.1592046631026416)],49.915600000000005
idealised_final_3_4,circular,1.5,[np.float64(1.0711265437926607)],24.942000000000004
idealised_final_2_6a,oval,2.0,[np.float64(1.095116739307198)],24.9914
idealised_final_2_3,oval,0.5,[np.float64(1.183976686465958)],79.1808
idealised_final_1_4,circular,1.6,[np.float64(0.936369893701334)],42.8121
idealised_final_1_3,oval,1.9,[np.float64(1.0681368387886552)],51.7496
idealised_final_1_3,oval,0.4,[np.float64(1.2382548225135817)],48.4305
idealised_final_1_5,circular,1.7,[np.float64(0.9249429395801615)],47.9475
idealised_final_3_7,circular,0.2,[np.float64(0.9989497008284199)],24.294500000000003
idealised_final_3_4,circular,1.6,[np.float64(1.0737785659346872)],24.9062
idealised_final_1_5,oval,1.7,[np.float64(1.07392090308861)],57.8595
idealised_final_3_7,oval,1.3,[np.float64(1.2618474113957459)],34.614200000000004
idealised_final_1_4,oval,0.4,[np.float64(1.151378529848718)],46.315
idealised_final_2_1,oval,0.1,[np.float64(1.3121220278324022)],74.5976
idealised_final_1_8,oval,0.3,[np.float64(1.106182361915862)],67.8371
idealised_final_1_6,oval,0.2,[np.float64(1.3340013772850368)],60.622600000000006
idealised_final_2_6a,oval,0.3,[np.float64(1.3490261085557778)],22.6426
idealised_final_1_6,oval,1.6,[np.float64(1.0956197026871508)],67.3566
idealised_final_3_7,circular,1.5,[np.float64(1.0685697394132134)],24.3633
idealised_final_1_6,oval,0.5,[np.float64(1.2354185007104903)],63.5695
idealised_final_2_6a,oval,0.2,[np.float64(1.400320495113132)],22.254900000000003
idealised_final_2_3,oval,0.7,[np.float64(1.1510013649401487)],80.1902
idealised_final_1_4,circular,1.5,[np.float64(0.9382174015641966)],42.915
idealised_final_3_4,oval,0.9,[np.float64(1.0038106751546816)],26.7725
